,match_id,balls,score,wickets,ground,ground_average,wickets_remaining,powerplay_balls,non_powerplay_balls
796,912,215,173,3,De Beers Diamond Oval,250,7,0,85
797,913,215,168,5,Edgbaston,203,5,0,85
798,914,215,155,4,Seddon Park,235,6,0,85
799,915,215,168,3,Sharjah Cricket Stadium,250,7,0,85
800,916,215,106,5,Buffalo Park,171,5,0,85
801,917,215,142,4,Sheikh Zayed Stadium,231,6,0,85
802,918,215,123,5,R Premadasa Stadium,214,5,0,85
803,919,215,131,5,Willowmoore Park,219,5,0,85
804,920,215,186,3,Nehru Stadium,231,7,0,85
805,921,215,175,4,Eden Gardens,242,6,0,85
806,922,215,187,2,Sharjah Cricket Stadium,250,8,0,85
807,923,215,143,2,St George's Park,215,8,0,85
808,924,215,136,5,Shere Bangla National Stadium,214,5,0,85
809,925,215,129,5,Gymkhana Club Ground,193,5,0,85
810,926,215,139,4,Shere Bangla National Stadium,214,6,0,85
811,927,215,165,5,Sheikh Zayed Stadium,231,5,0,85
812,929,215,157,4,Shere Bangla National Stadium,214,6,0,85
813,931,215,175,3,Dubai International Cricket Stadium,221,7,0,85
814,932,215,176,4,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",250,6,0,85
815,933,215,180,5,McLean Park,259,5,0,85
816,934,215,186,4,Rangiri Dambulla International Stadium,201,6,0,85
817,935,215,213,3,Barabati Stadium,259,7,0,85
818,936,215,164,4,Headingley,283,6,0,85
819,937,215,207,2,"Brisbane Cricket Ground, Woolloongabba",218,8,0,85
820,939,215,193,6,"Grange Cricket Club Ground, Raeburn Place",250,4,0,85
821,940,215,182,5,Seddon Park,235,5,0,85
822,942,215,208,2,McLean Park,259,8,0,85
823,943,215,219,2,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",250,8,0,85
824,944,215,167,2,Gymkhana Club Ground,193,8,0,85
825,945,215,206,3,SuperSport Park,231,7,0,85
826,946,215,210,2,Sydney Cricket Ground,220,8,0,85
827,947,215,148,4,"Kensington Oval, Bridgetown",187,6,0,85
828,948,215,162,5,Sophia Gardens,192,5,0,85
829,949,215,146,4,"Beausejour Stadium, Gros Islet",208,6,0,85
830,950,215,181,2,Shere Bangla National Stadium,214,8,0,85
831,951,215,90,8,Queenstown Events Centre,120,2,0,85
832,952,215,161,5,Dubai International Cricket Stadium,221,5,0,85
833,953,215,174,1,"Sardar Patel Stadium, Motera",224,9,0,85
834,953,215,175,1,"Sardar Patel Stadium, Motera",224,9,0,85
835,954,215,161,4,Sophia Gardens,192,6,0,85
836,957,215,171,5,Multan Cricket Stadium,226,5,0,85
837,958,215,142,3,Clontarf Cricket Club Ground,250,7,0,85
838,959,215,182,4,Lord's,233,6,0,85
839,961,215,165,4,Harare Sports Club,214,6,0,85
840,962,215,157,3,National Stadium,214,7,0,85
841,964,215,175,1,Bellerive Oval,245,9,0,85
842,965,215,200,4,Adelaide Oval,230,6,0,85
843,966,215,219,4,OUTsurance Oval,250,6,0,85
844,968,215,190,2,"Beausejour Stadium, Gros Islet",208,8,0,85
845,969,215,172,3,R Premadasa Stadium,214,7,0,85
846,970,215,136,5,"Sir Vivian Richards Stadium, North Sound",225,5,0,85
847,971,215,166,4,Sydney Cricket Ground,220,6,0,85
848,972,215,167,2,Sinhalese Sports Club Ground,167,8,0,85
849,975,215,184,2,Gymkhana Club Ground,193,8,0,85
850,976,215,173,7,Pallekele International Cricket Stadium,250,3,0,85
